"neurons.1","neurons.DBT","neurons.DPT","neurons.RH","neurons.1.1","neurons.2","neurons.3","neurons.4","neurons.5","neurons.6","net.result"
1,25,20.6,77,1,1,0.999995563809229,0.00000000000000000000012778722895055,1,1,0.999977931575659
1,23.7,22.3,93,1,1,0.999756294228107,0.000000000000000000000000716866543001552,1,1,0.999977919584987
1,23.2,20.8,87,1,1,0.999772075065697,0.0000000000000000000000130763859667895,1,1,0.999977920376023
1,27.1,20.9,69,1,1,0.999999918095894,0.000000000000000000000439255604581649,1,1,0.999977931793807
1,26,21.6,77,1,1,0.999999088883743,0.0000000000000000000000456503735679386,1,1,0.999977931752264
1,26.4,21.5,74,1,1,0.999999685080922,0.000000000000000000000099859875306326,1,1,0.999977931782133
1,23.1,21.6,92,1,1,0.999490069375117,0.00000000000000000000000192084643463841,1,1,0.999977906235831
1,23.4,21.6,90,1,1,0.999769670099585,0.00000000000000000000000308088798074371,1,1,0.999977920255473
1,23,21.5,91,1,1,0.999563250844038,0.00000000000000000000000294026281945907,1,1,0.999977909906131
1,23.8,22.6,93,1,1,0.999830391102052,0.000000000000000000000000590820371792585,1,1,0.999977923298948
1,23.1,21.6,91,1,1,0.999627165537964,0.00000000000000000000000265266153833794,1,1,0.999977913111171
1,24.5,21.7,84,1,1,0.999982881670673,0.0000000000000000000000108257087806102,1,1,0.999977930940274
1,24.8,21.9,84,1,1,0.999988208064558,0.00000000000000000000000831730589488423,1,1,0.999977931207132
1,26,20.7,73,1,1,0.999999347575081,0.000000000000000000000249433360551111,1,1,0.999977931765225
1,23,22.1,95,1,1,0.999171745760746,0.000000000000000000000000616302256608342,1,1,0.999977890263724
1,25,22.1,84,1,1,0.999991407908512,0.00000000000000000000000676977213528573,1,1,0.999977931367447
1,26.1,20.5,71,1,1,0.999999595669979,0.000000000000000000000491525918405352,1,1,0.999977931777654
1,27.2,21.4,71,1,1,0.999999913051928,0.00000000000000000000017341135566698,1,1,0.999977931793555
1,24.5,21.1,81,1,1,0.999987657124877,0.0000000000000000000000373989612296759,1,1,0.99997793117953
1,24.6,21.4,82,1,1,0.999988250433691,0.0000000000000000000000223196558976484,1,1,0.999977931209255
1,25.9,20.1,71,1,1,0.999999319341875,0.000000000000000000000661048897498372,1,1,0.99997793176381
1,26.3,20.7,71,1,1,0.999999705389347,0.000000000000000000000400071670832496,1,1,0.999977931783151
1,27.4,20.7,67,1,1,0.999999954634154,0.000000000000000000000771221471331879,1,1,0.999977931795638
1,25.4,20.4,74,1,1,0.999998301798941,0.000000000000000000000292464666688828,1,1,0.999977931712832
1,25,20.6,77,1,1,0.999995563809229,0.00000000000000000000012778722895055,1,1,0.999977931575659
1,27.3,20.3,66,1,1,0.999999947219128,0.00000000000000000000135204275800032,1,1,0.999977931795266
1,28.6,21,64,1,1,0.999999993350106,0.000000000000000000000887254844630427,1,1,0.999977931797578
1,25,22.7,87,1,1,0.999988083613932,0.00000000000000000000000195961543417252,1,1,0.999977931200897
1,27.5,22.5,75,1,1,0.999999916357939,0.0000000000000000000000243833664490229,1,1,0.99997793179372
1,24.6,23.5,93,1,1,0.999956828175544,0.00000000000000000000000024784587712246,1,1,0.999977929634917
1,24.3,23.3,94,1,1,0.999914273492548,0.000000000000000000000000233596413179473,1,1,0.999977927502635
1,27.6,23.9,81,1,1,0.999999875999807,0.00000000000000000000000176174758734632,1,1,0.999977931791698
1,26.8,22.5,77,1,1,0.999999768115914,0.0000000000000000000000191500791409503,1,1,0.999977931786293
1,27,22.4,76,1,1,0.999999832201865,0.0000000000000000000000246529532540753,1,1,0.999977931789504
